,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
0,Irelia,blue,RekSai,2015,Gnar,Elise,1,1
1,Gnar,blue,Rengar,2015,Irelia,JarvanIV,1,0
2,Renekton,blue,Rengar,2015,Sion,LeeSin,1,1
3,Irelia,blue,JarvanIV,2015,Gnar,Nunu,1,0
4,Gnar,blue,JarvanIV,2015,Sion,RekSai,1,1
5,Kassadin,blue,Rengar,2015,Gnar,JarvanIV,1,0
6,Irelia,blue,JarvanIV,2015,Renekton,LeeSin,1,1
7,Renekton,blue,JarvanIV,2015,Rumble,Rengar,1,1
8,Sion,blue,RekSai,2015,Kassadin,Vi,1,0
9,Irelia,blue,Nocturne,2015,Gnar,Rengar,1,1
10,Gnar,blue,JarvanIV,2015,Lulu,LeeSin,1,1
11,Jax,blue,JarvanIV,2015,Gnar,RekSai,1,1
12,Irelia,blue,Vi,2015,Gnar,JarvanIV,1,1
13,Lulu,blue,LeeSin,2015,Sion,JarvanIV,1,0
14,Maokai,blue,JarvanIV,2015,Lulu,Rengar,1,1
15,Rumble,blue,Vi,2015,Gnar,RekSai,1,1
16,Gnar,blue,JarvanIV,2015,Maokai,LeeSin,2,0
17,Lissandra,blue,JarvanIV,2015,Gnar,Nunu,1,1
18,Gnar,blue,LeeSin,2015,Malphite,JarvanIV,1,1
19,Sion,blue,Rengar,2015,Lissandra,JarvanIV,1,0
20,Lulu,blue,RekSai,2015,Rumble,LeeSin,1,0
21,Maokai,blue,Vi,2015,Irelia,JarvanIV,1,1
22,RekSai,blue,Vi,2015,Maokai,LeeSin,1,0
23,Lissandra,blue,RekSai,2015,Sion,JarvanIV,1,1
24,Gnar,blue,JarvanIV,2015,Irelia,Vi,1,0
25,Rumble,blue,Vi,2015,Maokai,JarvanIV,1,1
26,Lissandra,blue,LeeSin,2015,Irelia,Vi,1,1
27,Maokai,blue,Vi,2015,Rumble,JarvanIV,2,0
28,Jax,blue,RekSai,2015,Gnar,LeeSin,1,1
29,Sion,blue,Vi,2015,Maokai,LeeSin,1,1
30,Irelia,blue,RekSai,2015,Sion,JarvanIV,1,0
31,Lissandra,blue,Vi,2015,Maokai,RekSai,1,1
32,Gnar,blue,JarvanIV,2015,Maokai,Nidalee,1,0
33,Maokai,blue,RekSai,2015,Rumble,JarvanIV,1,0
34,Maokai,blue,JarvanIV,2015,Lissandra,Vi,2,1
35,Lissandra,blue,RekSai,2015,Maokai,Vi,1,1
36,Rumble,blue,Vi,2015,Gnar,JarvanIV,2,2
37,Gnar,blue,Vi,2015,Sion,JarvanIV,1,0
38,Maokai,blue,Vi,2015,Swain,JarvanIV,1,1
39,Renekton,blue,LeeSin,2015,Maokai,Vi,1,1
40,Fizz,blue,RekSai,2015,Maokai,Vi,1,0
41,Gnar,blue,RekSai,2015,Maokai,Nunu,1,0
42,Maokai,blue,Nidalee,2015,DrMundo,LeeSin,1,1
43,Rumble,blue,RekSai,2015,Maokai,Vi,2,1
44,Maokai,blue,Vi,2015,Kassadin,RekSai,1,1
45,Rumble,blue,RekSai,2015,Maokai,JarvanIV,3,3
46,Irelia,blue,RekSai,2015,Rumble,JarvanIV,1,1
47,Sion,blue,RekSai,2015,Renekton,JarvanIV,1,0
48,Maokai,blue,RekSai,2015,Irelia,JarvanIV,2,1
49,Morgana,blue,RekSai,2015,DrMundo,Nunu,1,1
50,Gnar,blue,JarvanIV,2015,Maokai,RekSai,4,2
51,Fizz,blue,RekSai,2015,Maokai,JarvanIV,1,1
52,Kennen,blue,RekSai,2015,Hecarim,Nidalee,1,1
53,Maokai,blue,RekSai,2015,Renekton,Vi,1,1
54,Maokai,blue,JarvanIV,2015,Hecarim,RekSai,2,2
55,Maokai,blue,RekSai,2015,Rumble,Rengar,1,1
56,Maokai,blue,Nidalee,2015,Gnar,JarvanIV,1,1
57,Morgana,blue,LeeSin,2015,Irelia,RekSai,1,1
58,Rumble,blue,Nidalee,2015,Morgana,RekSai,1,0
59,Gragas,blue,RekSai,2015,Maokai,FiddleSticks,1,1
60,Rumble,blue,Vi,2015,Kennen,LeeSin,1,1
61,Lissandra,blue,Sejuani,2015,Hecarim,RekSai,1,0
62,Kennen,blue,JarvanIV,2015,Lulu,RekSai,1,0
63,Kennen,blue,LeeSin,2015,Lulu,Vi,1,1
64,Kennen,blue,JarvanIV,2015,Rumble,Vi,1,0
65,Lissandra,blue,Sejuani,2015,JarvanIV,RekSai,1,1
66,Rumble,blue,Nidalee,2015,Gragas,RekSai,1,1
67,Kennen,blue,JarvanIV,2015,Maokai,Vi,1,0
68,Kennen,blue,Vi,2015,Irelia,LeeSin,1,1
69,Irelia,blue,Gragas,2015,Rumble,Nidalee,1,0
70,DrMundo,blue,RekSai,2015,Maokai,Vi,2,0
71,DrMundo,blue,RekSai,2015,Maokai,Nunu,1,0
72,Sion,blue,Vi,2015,Hecarim,Zac,1,1
73,Lulu,blue,Sejuani,2015,Gragas,Vi,1,0
74,Sion,blue,Zac,2015,Hecarim,Sejuani,1,0
75,Lulu,blue,Sejuani,2015,Kennen,RekSai,1,1
76,Vladimir,blue,Sejuani,2015,Maokai,Nunu,1,1
77,Hecarim,blue,Nidalee,2015,Lulu,Nunu,1,1
78,Lissandra,blue,Gragas,2015,Lulu,Nunu,1,0
79,Irelia,blue,Nunu,2015,Kennen,Sejuani,1,0
80,Maokai,blue,RekSai,2015,Rumble,Sejuani,2,1
81,Sion,blue,Nidalee,2015,Renekton,RekSai,1,1
82,Sion,blue,RekSai,2015,Lulu,Nidalee,1,0
83,Rumble,blue,RekSai,2015,Sion,Zac,1,0
84,Sion,blue,LeeSin,2015,Lissandra,Gragas,1,1
85,Maokai,blue,Vi,2015,Kennen,RekSai,1,1
86,Kennen,blue,Zac,2015,Hecarim,Sejuani,1,0
87,Rumble,blue,Nunu,2015,Gragas,RekSai,1,1
88,Jax,blue,RekSai,2015,Rumble,Vi,1,0
