IDX,TAG_Champ_1_Blue,TAG_Champ_2_blue,TAG_Champ_1_Red,TAG_Champ_2_red,bResult,rResult,Partidas_x
2,Marksman,"Support, Tank",Marksman,"Tank, Support",50,45,95
753,Marksman,"Support, Mage",Marksman,"Support, Mage",47,45,92
195,Marksman,"Support, Tank",Marksman,"Support, Mage",41,44,85
9,Marksman,"Tank, Support",Marksman,"Support, Tank",47,35,82
515,Marksman,"Support, Mage",Marksman,"Support, Fighter",38,41,79
15,Marksman,"Support, Fighter",Marksman,"Tank, Support",43,34,77
20,Marksman,"Support, Tank",Marksman,"Support, Fighter",35,39,74
235,Marksman,"Support, Fighter",Marksman,"Support, Mage",44,30,74
191,Marksman,"Mage, Support",Marksman,"Support, Mage",37,35,72
126,Marksman,"Support, Mage",Marksman,"Tank, Support",36,36,72
221,Marksman,"Tank, Support",Marksman,"Support, Mage",37,34,71
224,Marksman,"Support, Mage",Marksman,"Support, Tank",35,36,71
706,Marksman,"Support, Mage",Marksman,"Mage, Support",38,26,64
38,Marksman,"Tank, Support",Marksman,"Support, Fighter",28,27,55
414,Marksman,"Support, Fighter",Marksman,"Support, Tank",32,18,50
154,Marksman,"Support, Mage","Marksman, Mage","Support, Mage",30,19,49
252,"Marksman, Mage","Support, Mage",Marksman,"Mage, Support",23,24,47
388,Marksman,"Support, Mage","Marksman, Mage","Mage, Support",25,21,46
118,"Marksman, Assassin","Support, Tank",Marksman,"Support, Fighter",25,19,44
104,Marksman,"Support, Fighter","Marksman, Mage","Support, Tank",25,18,43
190,Marksman,"Fighter, Tank",Marksman,"Tank, Support",25,17,42
