CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
Irelia,RekSai,2015,Spring,blue,Top,Jungle,9,5
Gnar,Rengar,2015,Spring,blue,Top,Jungle,5,1
Renekton,Rengar,2015,Spring,blue,Top,Jungle,1,1
Irelia,JarvanIV,2015,Spring,blue,Top,Jungle,16,6
Gnar,JarvanIV,2015,Spring,blue,Top,Jungle,27,13
Kassadin,Rengar,2015,Spring,blue,Top,Jungle,1,0
Renekton,JarvanIV,2015,Spring,blue,Top,Jungle,5,3
Sion,RekSai,2015,Spring,blue,Top,Jungle,5,1
Irelia,Nocturne,2015,Spring,blue,Top,Jungle,1,1
Jax,JarvanIV,2015,Spring,blue,Top,Jungle,4,2
Irelia,Vi,2015,Spring,blue,Top,Jungle,2,2
Lulu,LeeSin,2015,Spring,blue,Top,Jungle,7,4
Maokai,JarvanIV,2015,Spring,blue,Top,Jungle,22,16
Rumble,Vi,2015,Spring,blue,Top,Jungle,5,5
Lissandra,JarvanIV,2015,Spring,blue,Top,Jungle,14,8
Gnar,LeeSin,2015,Spring,blue,Top,Jungle,12,7
Sion,Rengar,2015,Spring,blue,Top,Jungle,1,0
Lulu,RekSai,2015,Spring,blue,Top,Jungle,11,5
Maokai,Vi,2015,Spring,blue,Top,Jungle,10,5
RekSai,Vi,2015,Spring,blue,Top,Jungle,1,0
Lissandra,RekSai,2015,Spring,blue,Top,Jungle,8,6
Lissandra,LeeSin,2015,Spring,blue,Top,Jungle,8,5
Jax,RekSai,2015,Spring,blue,Top,Jungle,3,1
Sion,Vi,2015,Spring,blue,Top,Jungle,2,2
Lissandra,Vi,2015,Spring,blue,Top,Jungle,2,2
Maokai,RekSai,2015,Spring,blue,Top,Jungle,30,22
Gnar,Vi,2015,Spring,blue,Top,Jungle,1,0
Renekton,LeeSin,2015,Spring,blue,Top,Jungle,2,1
Fizz,RekSai,2015,Spring,blue,Top,Jungle,3,1
Gnar,RekSai,2015,Spring,blue,Top,Jungle,21,12
Maokai,Nidalee,2015,Spring,blue,Top,Jungle,13,9
Rumble,RekSai,2015,Spring,blue,Top,Jungle,16,12
Morgana,RekSai,2015,Spring,blue,Top,Jungle,2,2
Kennen,RekSai,2015,Spring,blue,Top,Jungle,8,5
Morgana,LeeSin,2015,Spring,blue,Top,Jungle,4,3
Rumble,Nidalee,2015,Spring,blue,Top,Jungle,2,1
Gragas,RekSai,2015,Spring,blue,Top,Jungle,1,1
Lissandra,Sejuani,2015,Spring,blue,Top,Jungle,3,2
Kennen,JarvanIV,2015,Spring,blue,Top,Jungle,3,0
Kennen,LeeSin,2015,Spring,blue,Top,Jungle,2,2
Kennen,Vi,2015,Spring,blue,Top,Jungle,2,2
Irelia,Gragas,2015,Spring,blue,Top,Jungle,2,1
DrMundo,RekSai,2015,Spring,blue,Top,Jungle,4,0
Lulu,Sejuani,2015,Spring,blue,Top,Jungle,5,2
Sion,Zac,2015,Spring,blue,Top,Jungle,1,0
Vladimir,Sejuani,2015,Spring,blue,Top,Jungle,1,1
Hecarim,Nidalee,2015,Spring,blue,Top,Jungle,2,1
Lissandra,Gragas,2015,Spring,blue,Top,Jungle,1,0
Irelia,Nunu,2015,Spring,blue,Top,Jungle,2,0
Sion,Nidalee,2015,Spring,blue,Top,Jungle,3,2
Sion,LeeSin,2015,Spring,blue,Top,Jungle,4,3
Kennen,Zac,2015,Spring,blue,Top,Jungle,1,0
Rumble,Nunu,2015,Spring,blue,Top,Jungle,4,4
Hecarim,RekSai,2015,Spring,blue,Top,Jungle,11,4
Maokai,Zac,2015,Spring,blue,Top,Jungle,1,1
Rumble,Gragas,2015,Summer,blue,Top,Jungle,35,17
Rumble,RekSai,2015,Summer,blue,Top,Jungle,40,21
Maokai,LeeSin,2015,Summer,blue,Top,Jungle,17,12
Gnar,RekSai,2015,Summer,blue,Top,Jungle,25,17
Hecarim,Nunu,2015,Summer,blue,Top,Jungle,3,2
Rumble,Nunu,2015,Summer,blue,Top,Jungle,5,5
Gnar,Zac,2015,Summer,blue,Top,Jungle,1,1
Hecarim,Evelynn,2015,Summer,blue,Top,Jungle,9,3
Rumble,Sejuani,2015,Summer,blue,Top,Jungle,9,3
Vladimir,Gragas,2015,Summer,blue,Top,Jungle,4,3
Irelia,Gragas,2015,Summer,blue,Top,Jungle,3,1
Ryze,Sejuani,2015,Summer,blue,Top,Jungle,1,0
Maokai,Sejuani,2015,Summer,blue,Top,Jungle,10,4
Ryze,Zac,2015,Summer,blue,Top,Jungle,1,1
Maokai,Gragas,2015,Summer,blue,Top,Jungle,31,21
Maokai,RekSai,2015,Summer,blue,Top,Jungle,40,24
Hecarim,Gragas,2015,Summer,blue,Top,Jungle,24,15
Hecarim,Ekko,2015,Summer,blue,Top,Jungle,2,1
Hecarim,JarvanIV,2015,Summer,blue,Top,Jungle,1,0
Rumble,LeeSin,2015,Summer,blue,Top,Jungle,6,3
Gnar,Nunu,2015,Summer,blue,Top,Jungle,3,2
Hecarim,XinZhao,2015,Summer,blue,Top,Jungle,1,1
Ekko,RekSai,2015,Summer,blue,Top,Jungle,3,3
Rumble,XinZhao,2015,Summer,blue,Top,Jungle,1,0
Hecarim,RekSai,2015,Summer,blue,Top,Jungle,22,10
Maokai,Nocturne,2015,Summer,blue,Top,Jungle,1,0
Sion,Ekko,2015,Summer,blue,Top,Jungle,1,1
Gnar,JarvanIV,2015,Summer,blue,Top,Jungle,2,2
Fizz,RekSai,2015,Summer,blue,Top,Jungle,19,10
Rumble,JarvanIV,2015,Summer,blue,Top,Jungle,1,1
Shen,RekSai,2015,Summer,blue,Top,Jungle,15,6
Nautilus,Nidalee,2015,Summer,blue,Top,Jungle,4,1
Lulu,Evelynn,2015,Summer,blue,Top,Jungle,1,0
Shen,Evelynn,2015,Summer,blue,Top,Jungle,9,3
Gnar,Gragas,2015,Summer,blue,Top,Jungle,27,10
Shen,JarvanIV,2015,Summer,blue,Top,Jungle,4,4
Nautilus,RekSai,2015,Summer,blue,Top,Jungle,5,3
Maokai,Nidalee,2015,Summer,blue,Top,Jungle,17,12
Gnar,LeeSin,2015,Summer,blue,Top,Jungle,4,2
Maokai,Rengar,2015,Summer,blue,Top,Jungle,1,1
Ryze,LeeSin,2015,Summer,blue,Top,Jungle,3,3
Fizz,Nautilus,2015,Summer,blue,Top,Jungle,1,1
Rumble,Shyvana,2015,Summer,blue,Top,Jungle,1,1
Fizz,Gragas,2015,Summer,blue,Top,Jungle,13,9
Shen,Vi,2015,Summer,blue,Top,Jungle,1,0
Rumble,Evelynn,2015,Summer,blue,Top,Jungle,10,6
Vladimir,Elise,2015,Summer,blue,Top,Jungle,1,0
Khazix,Zac,2015,Summer,blue,Top,Jungle,1,1
Riven,Ekko,2015,Summer,blue,Top,Jungle,1,0
Olaf,Gragas,2015,Summer,blue,Top,Jungle,2,1
Shen,Gragas,2015,Summer,blue,Top,Jungle,17,6
Gnar,Nidalee,2015,Summer,blue,Top,Jungle,6,2
Vladimir,LeeSin,2015,Spring,blue,Top,Jungle,1,0
Lulu,Nunu,2015,Spring,blue,Top,Jungle,1,1
Rumble,JarvanIV,2015,Spring,blue,Top,Jungle,21,12
Hecarim,LeeSin,2015,Spring,blue,Top,Jungle,2,1
Shyvana,Nunu,2015,Spring,blue,Top,Jungle,3,1
Hecarim,Gragas,2015,Spring,blue,Top,Jungle,4,2
Hecarim,Nunu,2015,Spring,blue,Top,Jungle,4,3
Hecarim,Sejuani,2015,Spring,blue,Top,Jungle,7,5
Lulu,Nidalee,2015,Spring,blue,Top,Jungle,3,2
Kennen,Nunu,2015,Spring,blue,Top,Jungle,1,0
Gnar,Gragas,2015,Spring,blue,Top,Jungle,3,1
Rumble,Sejuani,2015,Spring,blue,Top,Jungle,4,3
Sion,Gragas,2015,Spring,blue,Top,Jungle,5,3
Gnar,Sejuani,2015,Spring,blue,Top,Jungle,9,5
Lulu,Gragas,2015,Spring,blue,Top,Jungle,1,0
Maokai,Gragas,2015,Spring,blue,Top,Jungle,5,4
Maokai,Sejuani,2015,Spring,blue,Top,Jungle,10,7
Vladimir,Zac,2015,Spring,blue,Top,Jungle,1,0
Shen,Elise,2015,Summer,blue,Top,Jungle,15,8
Olaf,Nidalee,2015,Summer,blue,Top,Jungle,1,1
Olaf,Ekko,2015,Summer,blue,Top,Jungle,1,1
Gnar,Ekko,2015,Summer,blue,Top,Jungle,6,5
Gnar,Elise,2015,Summer,blue,Top,Jungle,9,4
Nautilus,Gragas,2015,Summer,blue,Top,Jungle,4,3
Sion,Gragas,2015,Summer,blue,Top,Jungle,2,1
Maokai,Evelynn,2015,Summer,blue,Top,Jungle,19,8
Yasuo,Gragas,2015,Summer,blue,Top,Jungle,2,2
Nautilus,Ekko,2015,Summer,blue,Top,Jungle,3,0
Rumble,Amumu,2015,Summer,blue,Top,Jungle,1,0
Lulu,Amumu,2015,Summer,blue,Top,Jungle,1,0
Maokai,Shyvana,2015,Summer,blue,Top,Jungle,1,1
Maokai,Khazix,2015,Summer,blue,Top,Jungle,1,1
Gnar,Shyvana,2015,Summer,blue,Top,Jungle,1,0
