,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
0,Maokai,Graves,2016,Summer,blue,Top,Jungle,17,8
1,Fiora,RekSai,2016,Summer,blue,Top,Jungle,6,2
2,Trundle,Nidalee,2016,Summer,blue,Top,Jungle,20,14
3,Maokai,Gragas,2016,Summer,blue,Top,Jungle,8,2
4,Vladimir,Graves,2016,Summer,blue,Top,Jungle,1,1
5,Gragas,RekSai,2016,Summer,blue,Top,Jungle,7,3
6,Ekko,Olaf,2016,Summer,blue,Top,Jungle,5,2
7,Trundle,Gragas,2016,Summer,blue,Top,Jungle,51,24
8,Ekko,Kindred,2016,Summer,blue,Top,Jungle,11,6
9,Fizz,Nidalee,2016,Summer,blue,Top,Jungle,4,4
10,Trundle,Elise,2016,Summer,blue,Top,Jungle,63,34
11,Fiora,Gragas,2016,Summer,blue,Top,Jungle,11,6
12,Maokai,RekSai,2016,Summer,blue,Top,Jungle,20,12
13,Maokai,Khazix,2016,Summer,blue,Top,Jungle,2,1
14,Swain,Graves,2016,Summer,blue,Top,Jungle,7,2
15,Vladimir,Gragas,2016,Summer,blue,Top,Jungle,2,1
16,Ekko,RekSai,2016,Summer,blue,Top,Jungle,35,18
17,Maokai,LeeSin,2016,Summer,blue,Top,Jungle,10,8
18,Ekko,Graves,2016,Summer,blue,Top,Jungle,23,10
19,Irelia,Nidalee,2016,Summer,blue,Top,Jungle,15,11
20,Shen,RekSai,2016,Summer,blue,Top,Jungle,40,20
21,Irelia,Graves,2016,Summer,blue,Top,Jungle,8,2
22,Jax,Elise,2016,Summer,blue,Top,Jungle,7,4
23,Irelia,RekSai,2016,Summer,blue,Top,Jungle,38,18
24,Jax,Kindred,2016,Summer,blue,Top,Jungle,3,2
25,Maokai,Kindred,2016,Summer,blue,Top,Jungle,19,11
26,Maokai,Nidalee,2016,Summer,blue,Top,Jungle,14,7
27,Trundle,RekSai,2016,Summer,blue,Top,Jungle,35,20
28,Swain,RekSai,2016,Summer,blue,Top,Jungle,16,10
29,Fiora,Elise,2016,Summer,blue,Top,Jungle,7,3
30,Irelia,Elise,2016,Summer,blue,Top,Jungle,26,16
31,Renekton,Nidalee,2016,Summer,blue,Top,Jungle,1,1
32,Shen,Kindred,2016,Summer,blue,Top,Jungle,11,0
33,Fizz,RekSai,2016,Summer,blue,Top,Jungle,10,7
34,Trundle,Olaf,2016,Summer,blue,Top,Jungle,5,1
35,Irelia,Olaf,2016,Summer,blue,Top,Jungle,5,3
36,Jax,Nidalee,2016,Summer,blue,Top,Jungle,3,2
37,Shen,Olaf,2016,Summer,blue,Top,Jungle,7,5
38,Vladimir,Nidalee,2016,Summer,blue,Top,Jungle,1,0
39,Jax,RekSai,2016,Summer,blue,Top,Jungle,10,5
40,Rumble,Olaf,2016,Summer,blue,Top,Jungle,7,4
41,Irelia,Evelynn,2016,Summer,blue,Top,Jungle,1,0
42,Rumble,RekSai,2016,Summer,blue,Top,Jungle,17,9
43,JarvanIV,Gragas,2016,Summer,blue,Top,Jungle,1,0
44,Trundle,Kindred,2016,Summer,blue,Top,Jungle,16,5
45,Lissandra,RekSai,2016,Summer,blue,Top,Jungle,5,2
46,Hecarim,RekSai,2016,Summer,blue,Top,Jungle,5,3
47,Hecarim,Elise,2016,Summer,blue,Top,Jungle,2,1
48,Lissandra,Kindred,2016,Summer,blue,Top,Jungle,1,1
49,Poppy,Kindred,2016,Summer,blue,Top,Jungle,3,0
50,Jax,Olaf,2016,Summer,blue,Top,Jungle,2,1
51,Swain,Gragas,2016,Summer,blue,Top,Jungle,3,3
52,Trundle,Hecarim,2016,Summer,blue,Top,Jungle,8,5
53,Shen,Hecarim,2016,Summer,blue,Top,Jungle,25,13
54,Shen,Graves,2016,Summer,blue,Top,Jungle,15,5
55,Irelia,Gragas,2016,Summer,blue,Top,Jungle,34,19
56,Jax,Gragas,2016,Summer,blue,Top,Jungle,7,7
57,Shen,Gragas,2016,Summer,blue,Top,Jungle,35,23
58,Trundle,Graves,2016,Summer,blue,Top,Jungle,14,7
59,Ryze,RekSai,2016,Summer,blue,Top,Jungle,3,1
60,Hecarim,Nidalee,2016,Summer,blue,Top,Jungle,4,1
61,Ryze,Gragas,2016,Summer,blue,Top,Jungle,2,0
62,Rumble,Nidalee,2016,Summer,blue,Top,Jungle,4,2
63,Gnar,Gragas,2016,Summer,blue,Top,Jungle,41,27
