CHAMP1,CHAMP2,CHAMP1_POSITION,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
Irelia,RekSai,TOP_LANER,JUNGLER,5,4,9,0.5555555555555556,0.4444444444444444,2015,Spring,Blue
RekSai,Ahri,JUNGLER,MID_LANER,8,6,14,0.5714285714285714,0.42857142857142855,2015,Spring,Blue
RekSai,Janna,JUNGLER,SUPPORT,20,9,29,0.6896551724137931,0.3103448275862069,2015,Spring,Blue
Jinx,Janna,AD_CARRY,SUPPORT,5,3,8,0.625,0.375,2015,Spring,Blue
Gnar,Elise,TOP_LANER,JUNGLER,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Red
Elise,Fizz,JUNGLER,MID_LANER,0,1,1,0.0,1.0,2015,Spring,Red
Elise,Thresh,AD_CARRY,SUPPORT,2,3,5,0.4,0.6,2015,Spring,Red
Sivir,Thresh,AD_CARRY,SUPPORT,16,13,29,0.5517241379310345,0.4482758620689655,2015,Spring,Red
Gnar,Rengar,TOP_LANER,JUNGLER,1,4,5,0.2,0.8,2015,Spring,Blue
Rengar,Ahri,JUNGLER,MID_LANER,0,3,3,0.0,1.0,2015,Spring,Blue
Rengar,Leona,JUNGLER,SUPPORT,1,4,5,0.2,0.8,2015,Spring,Blue
Caitlyn,Leona,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2015,Spring,Blue
Irelia,JarvanIV,TOP_LANER,JUNGLER,9,6,15,0.6,0.4,2015,Spring,Red
JarvanIV,Azir,JUNGLER,MID_LANER,3,2,5,0.6,0.4,2015,Spring,Red
JarvanIV,Annie,AD_CARRY,SUPPORT,7,8,15,0.4666666666666667,0.5333333333333333,2015,Spring,Red
Corki,Annie,AD_CARRY,SUPPORT,6,15,21,0.2857142857142857,0.7142857142857143,2015,Spring,Red
Renekton,Rengar,TOP_LANER,JUNGLER,1,0,1,1.0,0.0,2015,Spring,Blue
Rengar,Fizz,JUNGLER,MID_LANER,1,0,1,1.0,0.0,2015,Spring,Blue
Rengar,Annie,JUNGLER,SUPPORT,3,1,4,0.75,0.25,2015,Spring,Blue
Sivir,Annie,AD_CARRY,SUPPORT,15,4,19,0.7894736842105263,0.21052631578947367,2015,Spring,Blue
Sion,LeeSin,TOP_LANER,JUNGLER,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Red
LeeSin,Azir,JUNGLER,MID_LANER,1,1,2,0.5,0.5,2015,Spring,Red
LeeSin,Janna,AD_CARRY,SUPPORT,9,16,25,0.36,0.64,2015,Spring,Red
Corki,Janna,AD_CARRY,SUPPORT,10,15,25,0.4,0.6,2015,Spring,Red
Irelia,JarvanIV,TOP_LANER,JUNGLER,6,10,16,0.375,0.625,2015,Spring,Blue
JarvanIV,Leblanc,JUNGLER,MID_LANER,7,7,14,0.5,0.5,2015,Spring,Blue
JarvanIV,Thresh,JUNGLER,SUPPORT,14,11,25,0.56,0.44,2015,Spring,Blue
Sivir,Thresh,AD_CARRY,SUPPORT,15,13,28,0.5357142857142857,0.4642857142857143,2015,Spring,Blue
Gnar,Nunu,TOP_LANER,JUNGLER,3,1,4,0.75,0.25,2015,Spring,Red
Nunu,Lulu,JUNGLER,MID_LANER,2,2,4,0.5,0.5,2015,Spring,Red
Nunu,Janna,AD_CARRY,SUPPORT,5,5,10,0.5,0.5,2015,Spring,Red
KogMaw,Janna,AD_CARRY,SUPPORT,4,4,8,0.5,0.5,2015,Spring,Red
Gnar,JarvanIV,TOP_LANER,JUNGLER,13,14,27,0.48148148148148145,0.5185185185185185,2015,Spring,Blue
JarvanIV,Lissandra,JUNGLER,MID_LANER,3,2,5,0.6,0.4,2015,Spring,Blue
JarvanIV,Janna,JUNGLER,SUPPORT,21,20,41,0.5121951219512195,0.4878048780487805,2015,Spring,Blue
Tristana,Janna,AD_CARRY,SUPPORT,4,2,6,0.6666666666666666,0.3333333333333333,2015,Spring,Blue
Sion,RekSai,TOP_LANER,JUNGLER,1,3,4,0.25,0.75,2015,Spring,Red
RekSai,Lulu,JUNGLER,MID_LANER,4,4,8,0.5,0.5,2015,Spring,Red
RekSai,Annie,AD_CARRY,SUPPORT,2,13,15,0.13333333333333333,0.8666666666666667,2015,Spring,Red
Kassadin,Rengar,TOP_LANER,JUNGLER,0,1,1,0.0,1.0,2015,Spring,Blue
