,Unnamed: 0,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult,categorie
16510,16510,Lucian,blue,Braum,2015,Marksman/Mage/,Tank/Support/,1,0,Marksman/Mage/Tank/Support/
16549,16549,Lucian,blue,Braum,2016,Marksman/,Fighter/Tank/,11,5,Marksman/Fighter/Tank/
16568,16568,Lucian,blue,Braum,2016,Marksman/,Support/Mage/,17,7,Marksman/Support/Mage/
16585,16585,Lucian,blue,Braum,2016,Marksman/Mage/,Support/Mage/,7,3,Marksman/Mage/Support/Mage/
16590,16590,Lucian,blue,Braum,2016,Marksman/,Tank/Support/,29,12,Marksman/Tank/Support/
16637,16637,Lucian,blue,Braum,2016,Marksman/Support/,Mage/Support/,2,0,Marksman/Support/Mage/Support/
16644,16644,Lucian,blue,Braum,2016,Marksman/Mage/,Mage/Support/,8,4,Marksman/Mage/Mage/Support/
16659,16659,Lucian,blue,Braum,2016,Marksman/Support/,Support/Fighter/,2,0,Marksman/Support/Support/Fighter/
16662,16662,Lucian,blue,Braum,2016,Marksman/Assassin/,Support/Mage/,5,2,Marksman/Assassin/Support/Mage/
16671,16671,Lucian,blue,Braum,2016,Marksman/,Mage/Support/,10,4,Marksman/Mage/Support/
16818,16818,Lucian,blue,Braum,2016,Marksman/Assassin/,Support/Fighter/,3,1,Marksman/Assassin/Support/Fighter/
17402,17402,Lucian,blue,Braum,2016,Marksman/Mage/,Fighter/Tank/,6,5,Marksman/Mage/Fighter/Tank/
17407,17407,Lucian,blue,Braum,2016,Marksman/Mage/,Support/Fighter/,8,7,Marksman/Mage/Support/Fighter/
17413,17413,Lucian,blue,Braum,2016,Marksman/,Support/Fighter/,18,8,Marksman/Support/Fighter/
17415,17415,Lucian,blue,Braum,2016,Marksman/,Support/Tank/,2,0,Marksman/Support/Tank/
17482,17482,Lucian,blue,Braum,2016,Marksman/Assassin/,Mage/Support/,2,0,Marksman/Assassin/Mage/Support/
17686,17686,Lucian,blue,Braum,2017,Marksman/Mage/,Support/Mage/,2,1,Marksman/Mage/Support/Mage/
17695,17695,Lucian,blue,Braum,2017,Marksman/,Support/Mage/,1,1,Marksman/Support/Mage/
17712,17712,Lucian,blue,Braum,2017,Marksman/Mage/,Support/Fighter/,1,1,Marksman/Mage/Support/Fighter/
17995,17995,Lucian,blue,Braum,2015,Marksman/Assassin/,Tank/Support/,1,0,Marksman/Assassin/Tank/Support/
18068,18068,Lucian,blue,Braum,2016,Marksman/Support/,Tank/Support/,1,1,Marksman/Support/Tank/Support/
18096,18096,Lucian,blue,Braum,2016,Marksman/Assassin/,Tank/Support/,3,1,Marksman/Assassin/Tank/Support/
18384,18384,Lucian,blue,Braum,2017,Marksman/,Support/,7,2,Marksman/Support/
18552,18552,Lucian,blue,Braum,2016,Marksman/Mage/,Tank/Support/,7,2,Marksman/Mage/Tank/Support/
18760,18760,Lucian,blue,Braum,2016,Marksman/,Tank/Fighter/,1,0,Marksman/Tank/Fighter/
18778,18778,Lucian,blue,Braum,2017,Marksman/Assassin/,Mage/Support/,1,0,Marksman/Assassin/Mage/Support/
18792,18792,Lucian,blue,Braum,2017,Marksman/Assassin/,Support/Tank/,2,2,Marksman/Assassin/Support/Tank/
18796,18796,Lucian,blue,Braum,2017,Marksman/Support/,Support/,1,0,Marksman/Support/Support/
18798,18798,Lucian,blue,Braum,2017,Marksman/,Support/Fighter/,3,1,Marksman/Support/Fighter/
18801,18801,Lucian,blue,Braum,2017,Marksman/Mage/,Tank/,1,0,Marksman/Mage/Tank/
18853,18853,Lucian,blue,Braum,2015,Marksman/,Support/Mage/,1,1,Marksman/Support/Mage/
18863,18863,Lucian,blue,Braum,2015,Marksman/,Support/Fighter/,1,0,Marksman/Support/Fighter/
18957,18957,Lucian,blue,Braum,2016,Marksman/Mage/,Mage/,1,0,Marksman/Mage/Mage/
19209,19209,Lucian,blue,Braum,2017,Marksman/Support/,Mage/Support/,1,1,Marksman/Support/Mage/Support/
19220,19220,Lucian,blue,Braum,2017,Marksman/Mage/,Mage/Support/,1,1,Marksman/Mage/Mage/Support/
19482,19482,Lucian,blue,Braum,2016,Marksman/Assassin/,Fighter/Tank/,1,0,Marksman/Assassin/Fighter/Tank/
19554,19554,Lucian,blue,Braum,2017,Marksman/Mage/,Mage/Assassin/,1,1,Marksman/Mage/Mage/Assassin/
19606,19606,Lucian,blue,Braum,2014,Marksman/Assassin/,Support/Fighter/,2,1,Marksman/Assassin/Support/Fighter/
19613,19613,Lucian,blue,Braum,2014,Marksman/,Tank/Support/,1,1,Marksman/Tank/Support/
19795,19795,Lucian,blue,Braum,2017,Marksman/Support/,Support/Tank/,1,0,Marksman/Support/Support/Tank/
19970,19970,Lucian,blue,Braum,2015,Marksman/Assassin/,Support/Mage/,1,1,Marksman/Assassin/Support/Mage/
19972,19972,Lucian,blue,Braum,2015,Marksman/Assassin/,Support/Fighter/,2,1,Marksman/Assassin/Support/Fighter/
20046,20046,Lucian,blue,Braum,2016,Marksman/Assassin/,Tank/Fighter/,1,0,Marksman/Assassin/Tank/Fighter/
20049,20049,Lucian,blue,Braum,2016,Marksman/Mage/,Tank/Fighter/,1,1,Marksman/Mage/Tank/Fighter/
20053,20053,Lucian,blue,Braum,2017,Marksman/,Tank/Support/,1,0,Marksman/Tank/Support/
20057,20057,Lucian,blue,Braum,2017,Marksman/Assassin/,Fighter/Tank/,1,0,Marksman/Assassin/Fighter/Tank/
