,Unnamed: 0,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult,categorie
9094,9094,Marksman/,blue,Support/Tank/,2016,Fighter/,Tank/Support/,9,3,Fighter/Tank/Support/
9109,9109,Marksman/,blue,Support/Tank/,2016,Assassin/Fighter/,Support/Mage/,7,0,Assassin/Fighter/Support/Mage/
9115,9115,Marksman/,blue,Support/Tank/,2016,Mage/Fighter/,Mage/Support/,7,5,Mage/Fighter/Mage/Support/
9162,9162,Marksman/,blue,Support/Tank/,2016,Fighter/,Support/Mage/,11,4,Fighter/Support/Mage/
9170,9170,Marksman/,blue,Support/Tank/,2016,Fighter/,Mage/Support/,5,1,Fighter/Mage/Support/
9185,9185,Marksman/,blue,Support/Tank/,2016,Assassin/Fighter/,Mage/Support/,2,0,Assassin/Fighter/Mage/Support/
9232,9232,Marksman/,blue,Support/Tank/,2016,Mage/Fighter/,Support/Mage/,9,3,Mage/Fighter/Support/Mage/
9284,9284,Marksman/,blue,Support/Tank/,2016,Mage/Fighter/,Tank/Support/,8,3,Mage/Fighter/Tank/Support/
9286,9286,Marksman/,blue,Support/Tank/,2016,Marksman/,Mage/Support/,31,17,Marksman/Mage/Support/
9380,9380,Marksman/,blue,Support/Tank/,2017,Assassin/Fighter/,Mage/Support/,7,3,Assassin/Fighter/Mage/Support/
9439,9439,Marksman/,blue,Support/Tank/,2017,Mage/Fighter/,Mage/Support/,2,1,Mage/Fighter/Mage/Support/
9827,9827,Marksman/,blue,Support/Tank/,2016,Marksman/Fighter/,Support/Mage/,2,0,Marksman/Fighter/Support/Mage/
9887,9887,Marksman/,blue,Support/Tank/,2016,Fighter/Mage/,Support/Mage/,4,2,Fighter/Mage/Support/Mage/
9893,9893,Marksman/,blue,Support/Tank/,2016,Fighter/Mage/,Mage/Support/,2,0,Fighter/Mage/Mage/Support/
9961,9961,Marksman/,blue,Support/Tank/,2016,Marksman/,Tank/Support/,84,42,Marksman/Tank/Support/
9962,9962,Marksman/,blue,Support/Tank/,2016,Marksman/,Fighter/Tank/,30,15,Marksman/Fighter/Tank/
9965,9965,Marksman/,blue,Support/Tank/,2016,Marksman/,Support/Mage/,65,31,Marksman/Support/Mage/
9968,9968,Marksman/,blue,Support/Tank/,2016,Assassin/Fighter/,Support/Fighter/,5,2,Assassin/Fighter/Support/Fighter/
10021,10021,Marksman/,blue,Support/Tank/,2017,Assassin/Fighter/,Mage/Assassin/,1,1,Assassin/Fighter/Mage/Assassin/
10022,10022,Marksman/,blue,Support/Tank/,2017,Support/Mage/,Support/Tank/,1,1,Support/Mage/Support/Tank/
10055,10055,Marksman/,blue,Support/Tank/,2017,Assassin/Fighter/,Support/Tank/,3,2,Assassin/Fighter/Support/Tank/
10056,10056,Marksman/,blue,Support/Tank/,2017,Assassin/Fighter/,Support/Mage/,7,7,Assassin/Fighter/Support/Mage/
10071,10071,Marksman/,blue,Support/Tank/,2017,Assassin/Fighter/,Support/Fighter/,4,1,Assassin/Fighter/Support/Fighter/
10088,10088,Marksman/,blue,Support/Tank/,2017,Tank/Fighter/,Support/Fighter/,1,0,Tank/Fighter/Support/Fighter/
10453,10453,Marksman/,blue,Support/Tank/,2016,Mage/Fighter/,Support/Fighter/,9,5,Mage/Fighter/Support/Fighter/
10461,10461,Marksman/,blue,Support/Tank/,2016,Fighter/Mage/,Tank/Support/,8,5,Fighter/Mage/Tank/Support/
10487,10487,Marksman/,blue,Support/Tank/,2016,Fighter/Mage/,Fighter/Tank/,3,1,Fighter/Mage/Fighter/Tank/
10499,10499,Marksman/,blue,Support/Tank/,2016,Fighter/Assassin/,Tank/Support/,2,1,Fighter/Assassin/Tank/Support/
10506,10506,Marksman/,blue,Support/Tank/,2016,Mage/Fighter/,Fighter/Tank/,1,1,Mage/Fighter/Fighter/Tank/
10509,10509,Marksman/,blue,Support/Tank/,2016,Assassin/Fighter/,Fighter/Tank/,1,1,Assassin/Fighter/Fighter/Tank/
10512,10512,Marksman/,blue,Support/Tank/,2016,Assassin/Fighter/,Tank/Support/,2,1,Assassin/Fighter/Tank/Support/
10637,10637,Marksman/,blue,Support/Tank/,2017,Mage/Fighter/,Mage/,1,0,Mage/Fighter/Mage/
10640,10640,Marksman/,blue,Support/Tank/,2017,Mage/Fighter/,Support/Fighter/,1,1,Mage/Fighter/Support/Fighter/
10670,10670,Marksman/,blue,Support/Tank/,2017,Fighter/Assassin/,Support/Fighter/,2,1,Fighter/Assassin/Support/Fighter/
10680,10680,Marksman/,blue,Support/Tank/,2017,Fighter/Mage/,Support/Tank/,3,1,Fighter/Mage/Support/Tank/
10878,10878,Marksman/,blue,Support/Tank/,2016,Fighter/,Tank/Fighter/,1,1,Fighter/Tank/Fighter/
10914,10914,Marksman/,blue,Support/Tank/,2016,Fighter/Mage/,Tank/Fighter/,1,0,Fighter/Mage/Tank/Fighter/
10924,10924,Marksman/,blue,Support/Tank/,2016,Tank/Fighter/,Tank/Support/,1,1,Tank/Fighter/Tank/Support/
10926,10926,Marksman/,blue,Support/Tank/,2016,Fighter/Mage/,Support/Fighter/,2,2,Fighter/Mage/Support/Fighter/
10927,10927,Marksman/,blue,Support/Tank/,2016,Fighter/Assassin/,Support/Fighter/,2,2,Fighter/Assassin/Support/Fighter/
10934,10934,Marksman/,blue,Support/Tank/,2016,Fighter/Tank/,Mage/Support/,2,2,Fighter/Tank/Mage/Support/
10942,10942,Marksman/,blue,Support/Tank/,2016,Fighter/,Fighter/Tank/,2,0,Fighter/Fighter/Tank/
10961,10961,Marksman/,blue,Support/Tank/,2016,Fighter/Mage/,Support/Tank/,1,0,Fighter/Mage/Support/Tank/
11084,11084,Marksman/,blue,Support/Tank/,2016,Mage/Fighter/,Support/Tank/,1,1,Mage/Fighter/Support/Tank/
11088,11088,Marksman/,blue,Support/Tank/,2016,Mage/Fighter/,Tank/Fighter/,3,1,Mage/Fighter/Tank/Fighter/
11259,11259,Marksman/,blue,Support/Tank/,2016,Fighter/,Mage/,1,0,Fighter/Mage/
11319,11319,Marksman/,blue,Support/Tank/,2017,Fighter/Assassin/,Mage/Assassin/,1,1,Fighter/Assassin/Mage/Assassin/
11336,11336,Marksman/,blue,Support/Tank/,2017,Fighter/Mage/,Support/Fighter/,1,0,Fighter/Mage/Support/Fighter/
11473,11473,Marksman/,blue,Support/Tank/,2017,Fighter/Assassin/,Mage/Support/,2,2,Fighter/Assassin/Mage/Support/
11481,11481,Marksman/,blue,Support/Tank/,2017,Fighter/Assassin/,Support/,1,1,Fighter/Assassin/Support/
11551,11551,Marksman/,blue,Support/Tank/,2017,Fighter/Tank/,Mage/Support/,1,0,Fighter/Tank/Mage/Support/
11606,11606,Marksman/,blue,Support/Tank/,2017,Fighter/Assassin/,Support/Mage/,1,1,Fighter/Assassin/Support/Mage/
