,TAG1,TAG2,Total_Played,Wins
2145,Kalista,Thresh,334,191
1675,Gragas,Braum,319,171
1684,Elise,Braum,352,170
1622,RekSai,Thresh,325,165
81,Gnar,Gragas,281,153
1628,RekSai,Braum,336,151
1651,Gragas,Thresh,283,151
2201,Lucian,Braum,335,148
1688,Elise,Thresh,262,145
25,Maokai,RekSai,265,137
1646,RekSai,Alistar,263,136
890,RekSai,Viktor,287,133
1682,Elise,Alistar,258,124
1640,Gragas,Alistar,255,122
29,Gnar,RekSai,237,120
2166,Kalista,Alistar,226,118
2246,Sivir,Braum,235,116
2143,Sivir,Alistar,238,115
31,Rumble,RekSai,205,108
2247,Ashe,Zyra,207,107
2240,Ezreal,Karma,231,106
1749,LeeSin,Thresh,215,102
975,RekSai,Karma,230,99
2212,Ashe,Karma,213,99
864,RekSai,Azir,168,99
2192,Kalista,Braum,192,99
2255,Jhin,Karma,201,97
2221,Lucian,Alistar,219,97
2229,Ezreal,Braum,202,96
1012,Elise,Karma,231,95
2325,Xayah,Rakan,192,95
2219,Caitlyn,Braum,180,95
2245,Sivir,Karma,181,95
1051,Gragas,Karma,173,93
120,Maokai,Khazix,183,92
1662,Gragas,Janna,154,92
2207,Ashe,Braum,182,91
2127,Sivir,Thresh,169,90
166,Trundle,Elise,159,89
155,Poppy,Elise,165,89
985,Elise,Viktor,190,89
1631,Nidalee,Braum,164,88
1699,RekSai,Bard,149,88
164,Trundle,Gragas,156,87
892,LeeSin,Orianna,169,87
95,Shen,Gragas,166,87
871,Gragas,Viktor,193,87
891,Gragas,Orianna,152,86
1016,Gragas,Cassiopeia,138,86
77,Shen,RekSai,178,86
936,Elise,Lulu,148,84
976,Graves,Karma,197,84
56,Maokai,LeeSin,163,83
875,Gragas,Azir,141,82
2176,Ashe,Thresh,141,81
1070,Khazix,Syndra,128,81
2264,Jhin,Thresh,136,80
171,Maokai,Graves,157,80
1701,Graves,Braum,187,80
1663,Nidalee,Alistar,138,80
2291,Varus,Thresh,150,79
851,RekSai,Cassiopeia,158,79
2215,Ezreal,Alistar,159,78
2236,Jhin,Braum,140,77
2209,Varus,Braum,150,76
65,Maokai,Gragas,146,76
112,Gnar,Elise,156,75
2283,Varus,Karma,162,75
1687,LeeSin,Braum,154,75
2172,Lucian,Thresh,180,75
1381,Khazix,Karma,154,74
836,RekSai,Leblanc,155,73
922,Gragas,Corki,148,73
149,Nautilus,Graves,149,73
2178,Corki,Alistar,142,72
1358,LeeSin,Karma,163,72
1118,Elise,Orianna,129,72
69,Rumble,LeeSin,166,71
1034,Elise,Taliyah,107,71
912,Elise,Syndra,134,71
928,Elise,Azir,128,71
108,Shen,Elise,141,70
1703,Graves,Thresh,133,69
1146,Khazix,Malzahar,110,69
2242,Caitlyn,Karma,152,69
2185,Tristana,Alistar,135,68
2259,Jhin,Zyra,145,68
2183,Tristana,Thresh,143,67
2288,Varus,Zyra,149,67
2277,Jhin,TahmKench,139,66
1064,Khazix,Orianna,152,66
1605,RekSai,Janna,132,66
30,Maokai,Nidalee,112,65
2153,Tristana,Braum,143,64
934,LeeSin,Lulu,157,64
126,Fiora,Elise,133,64
1752,LeeSin,Zyra,130,63
2294,Jhin,Malzahar,101,63
1761,Khazix,Zyra,110,63
1756,Khazix,Thresh,123,63
2220,Lucian,Bard,111,63
974,Gragas,Syndra,107,63
1608,JarvanIV,Thresh,118,62
1674,Elise,Bard,107,62
1063,LeeSin,Syndra,128,62
1426,Gragas,Morgana,102,61
2138,Sivir,Janna,113,61
232,Nautilus,Khazix,102,61
244,Shen,Khazix,126,60
1742,Gragas,TahmKench,101,60
266,Renekton,Elise,144,60
235,Maokai,Elise,131,60
2141,Corki,Thresh,113,59
2284,Varus,Malzahar,91,59
1609,JarvanIV,Janna,107,59
2160,Lucian,Janna,120,59
1057,Graves,Lulu,123,59
897,Gragas,Lulu,134,59
967,Elise,Corki,127,59
1654,Gragas,Bard,112,58
12,Maokai,JarvanIV,101,58
2322,Varus,Lulu,119,58
972,Gragas,Leblanc,102,58
1693,Khazix,Braum,100,57
1705,Graves,Alistar,117,57
2168,Sivir,Nautilus,107,56
955,Graves,Syndra,94,56
160,Nautilus,LeeSin,102,56
826,LeeSin,Leblanc,111,56
1033,Gragas,Taliyah,105,56
957,Elise,Leblanc,110,56
1133,Rengar,Karma,118,56
2275,Ashe,TahmKench,115,56
55,Rumble,Gragas,104,55
827,RekSai,Corki,131,55
2129,Corki,Janna,114,55
2222,Lucian,Trundle,107,54
204,Shen,Graves,109,54
0,Irelia,RekSai,110,54
196,JarvanIV,Gragas,89,53
2364,Caitlyn,Thresh,104,53
1838,Sejuani,Braum,111,53
2126,Sivir,Annie,82,53
1082,Khazix,Ryze,107,53
2180,Sivir,Bard,104,53
1229,RekSai,Morgana,99,52
893,RekSai,Vladimir,112,52
1035,Elise,Cassiopeia,105,52
841,RekSai,Lulu,121,52
2306,Caitlyn,Lulu,106,52
1712,Gragas,Trundle,87,51
1030,RekSai,Taliyah,98,51
1000,LeeSin,Viktor,103,51
255,Shen,LeeSin,103,51
2239,Lucian,Karma,114,50
280,Renekton,Gragas,111,50
1802,Elise,TahmKench,102,50
951,RekSai,Ryze,101,50
2169,Ashe,Alistar,95,50
987,Gragas,Vladimir,103,50
1786,Gragas,Rakan,90,49
2315,Ezreal,Lulu,88,49
1108,Graves,Ahri,86,49
820,RekSai,Orianna,125,49
230,Gangplank,Gragas,81,49
84,Maokai,Rengar,79,48
2301,Ashe,Lulu,113,48
1619,RekSai,Nami,96,48
276,JarvanIV,Elise,84,48
96,Gnar,Nidalee,82,48
905,Rengar,Orianna,99,47
2297,Varus,TahmKench,102,47
2217,Ezreal,Bard,88,47
130,Poppy,Graves,100,47
1535,Khazix,Lulu,98,47
1717,RekSai,Zyra,99,47
154,Poppy,Gragas,87,47
1764,Elise,Nami,100,46
4,Gnar,JarvanIV,105,46
184,Trundle,RekSai,88,46
872,Gragas,Varus,70,46
2195,KogMaw,Braum,105,46
906,LeeSin,Ahri,97,45
249,Rumble,Khazix,91,45
1638,Sejuani,Thresh,82,45
2132,Sivir,Nami,66,44
214,Rumble,Rengar,83,44
1032,Graves,Ryze,77,44
1697,Kindred,Alistar,86,44
2139,Kalista,Morgana,74,44
165,Nautilus,Elise,91,44
2248,Ezreal,Nami,99,43
2131,KogMaw,Janna,78,43
2128,Tristana,Janna,75,43
1620,LeeSin,Alistar,90,43
1273,Rengar,Lulu,101,43
72,Ekko,RekSai,94,43
1074,Khazix,Corki,85,43
1366,Graves,Malzahar,71,43
1246,Elise,Malzahar,73,42
264,Gragas,LeeSin,84,42
953,RekSai,Syndra,90,42
1698,Elise,Trundle,76,42
1407,Gragas,Nautilus,80,42
1720,Elise,Zyra,90,42
176,Fiora,Gragas,86,42
2285,Ashe,Malzahar,88,41
1650,Sejuani,Alistar,85,41
219,Ekko,Gragas,66,41
2261,Ashe,Nami,83,41
2336,Xayah,Thresh,81,41
41,Irelia,Gragas,78,41
812,RekSai,Ahri,84,40
1031,RekSai,Malzahar,66,40
1639,Nidalee,Thresh,67,40
834,RekSai,Lissandra,76,40
1743,RekSai,TahmKench,89,40
1616,LeeSin,Nami,75,40
186,Irelia,Elise,67,40
292,Gragas,Khazix,72,40
1087,Graves,Orianna,102,40
1119,LeeSin,Taliyah,88,40
132,Fiora,RekSai,83,39
139,Poppy,Nidalee,76,39
2254,Jhin,Bard,73,39
1750,Rengar,Zyra,68,39
236,Nautilus,Rengar,80,39
273,Camille,Gragas,55,39
2193,Jinx,Thresh,73,39
1700,RekSai,Trundle,93,39
270,Camille,Elise,60,39
242,Shen,Rengar,76,38
1613,LeeSin,Janna,78,38
131,Gangplank,Elise,80,38
1019,Olaf,Karma,81,38
2251,Lucian,Nami,73,38
983,Elise,Zed,74,38
2223,Caitlyn,Bard,76,38
2158,Kalista,Janna,58,37
134,Poppy,RekSai,74,37
138,Gangplank,RekSai,76,37
2232,Ezreal,Thresh,68,37
1065,LeeSin,Corki,81,37
2241,Caitlyn,Zyra,70,36
1165,JarvanIV,Orianna,86,36
2340,Kalista,Rakan,63,36
896,RekSai,TwistedFate,61,36
221,Gragas,Graves,86,36
1005,Elise,Ryze,68,36
53,Hecarim,RekSai,74,36
1071,LeeSin,Cassiopeia,83,36
76,Rumble,JarvanIV,80,36
2151,Corki,Braum,80,35
1038,Gragas,Kassadin,65,35
1037,Gragas,Malzahar,51,35
1136,LeeSin,Malzahar,74,35
1762,Khazix,TahmKench,67,35
1706,Kindred,Braum,102,35
1069,Khazix,Cassiopeia,72,35
1145,Gragas,Galio,59,35
1626,RekSai,Annie,71,35
1103,Rengar,Syndra,71,35
208,Rumble,Graves,71,35
1408,RekSai,Nautilus,73,35
1851,Graves,Trundle,53,34
1757,Khazix,Nami,81,34
2244,Ashe,Bard,63,34
913,Nidalee,Azir,65,34
1239,Graves,Azir,52,33
963,Graves,Leblanc,73,33
952,Elise,Ahri,73,33
998,Elise,Vladimir,69,33
297,Jayce,Elise,65,33
923,Sejuani,Corki,64,33
1774,Rengar,Nami,54,33
105,Gnar,Sejuani,81,33
27,Renekton,LeeSin,66,33
1632,Sejuani,Janna,58,33
837,RekSai,Kassadin,73,33
1225,Elise,Morgana,64,32
969,Graves,Corki,71,32
146,Trundle,Nidalee,55,32
986,Kindred,Azir,67,31
1001,Graves,Viktor,86,31
1681,Elise,Janna,70,31
63,Maokai,Sejuani,69,31
2280,Jhin,Alistar,77,31
1780,LeeSin,TahmKench,69,31
2394,Sivir,TahmKench,54,31
28,Fizz,RekSai,57,31
2198,Twitch,Thresh,57,31
113,Nautilus,Gragas,63,31
229,Rumble,Elise,59,31
1718,Graves,Zyra,79,31
2258,Ezreal,Zyra,59,31
178,Ekko,Graves,68,31
183,Maokai,Kindred,64,31
331,Chogath,Gragas,53,30
2344,Caitlyn,TahmKench,68,30
2238,Sivir,Trundle,55,30
1704,Nidalee,Bard,49,30
971,Nidalee,Karma,52,30
950,Elise,Lissandra,57,30
174,Ekko,Kindred,60,30
66,Hecarim,Gragas,60,30
904,Gragas,Ahri,60,30
1122,Khazix,Taliyah,51,30
2228,Caitlyn,Alistar,56,29
15,Gnar,LeeSin,65,29
199,Poppy,Kindred,57,29
2266,Sivir,Taric,49,29
1776,Graves,TahmKench,60,29
1104,Elise,Jayce,66,29
58,Gnar,Zac,43,29
2154,Sivir,Morgana,53,29
2150,Lucian,Morgana,54,29
2262,Jhin,Nami,69,29
1188,JarvanIV,Ahri,49,29
914,Nidalee,Viktor,73,28
323,JarvanIV,Sejuani,44,28
1709,Graves,Janna,61,28
1131,Khazix,Ahri,60,28
787,JarvanIV,Lulu,54,28
2226,Caitlyn,Janna,49,28
78,Nautilus,Nidalee,44,28
2205,Vayne,Alistar,50,28
263,Kled,Elise,51,28
925,Gragas,Lissandra,41,27
2287,Ashe,MissFortune,55,27
1049,Sejuani,Cassiopeia,48,27
1707,Graves,Bard,62,27
1745,Gragas,Taric,45,27
1041,Rengar,Malzahar,43,27
446,Kled,LeeSin,47,27
1024,Gragas,Ryze,43,27
2203,KogMaw,Thresh,70,27
224,Ekko,Elise,50,27
2133,Corki,Morgana,50,27
312,Renekton,Khazix,47,27
2289,Caitlyn,Malzahar,46,27
1768,Ivern,Karma,53,26
2137,Tristana,Morgana,42,26
1782,Rengar,TahmKench,42,26
2317,KogMaw,Lulu,63,26
2161,KogMaw,Alistar,54,26
840,RekSai,Zed,42,25
2263,Ashe,Trundle,38,25
2159,Lucian,Lulu,49,25
2256,Twitch,Braum,45,25
2295,Varus,Nami,57,25
1152,Zac,Orianna,42,25
1769,Graves,Nami,66,25
1185,JarvanIV,Cassiopeia,37,25
1644,Zac,Thresh,39,25
1022,Elise,Varus,60,25
1261,Ivern,Corki,40,25
2216,Ezreal,Trundle,66,25
2310,Ezreal,TahmKench,42,25
128,Poppy,LeeSin,66,25
409,Fiora,Graves,40,25
1970,Gragas,Blitzcrank,35,25
813,Rengar,Ahri,42,25
2134,Kalista,Annie,47,24
877,Sejuani,Orianna,53,24
1623,JarvanIV,Braum,54,24
474,Chogath,Sejuani,44,24
2345,Xayah,Braum,48,24
203,Shen,Hecarim,49,24
1715,Gragas,Zyra,46,24
2135,Caitlyn,Morgana,42,24
947,Elise,TwistedFate,48,23
179,Irelia,Nidalee,36,23
1068,Rengar,Cassiopeia,35,23
2349,Tristana,TahmKench,40,23
215,Shen,Nidalee,47,23
2278,Jhin,Trundle,45,23
1382,Sejuani,Taliyah,38,23
2352,Kalista,Blitzcrank,31,23
1309,JarvanIV,Morgana,42,23
1803,Zac,Braum,41,23
246,Camille,LeeSin,45,23
962,RekSai,Zilean,37,23
988,Graves,Lissandra,61,23
1081,LeeSin,Ryze,50,22
1655,JarvanIV,Alistar,52,22
2235,Kalista,Trundle,38,22
1649,Evelynn,Alistar,50,22
1072,Rengar,Corki,32,22
1142,Elise,Lucian,43,22
137,Fiora,LeeSin,52,22
839,Nidalee,Zed,31,22
958,Nidalee,Corki,39,22
227,Gragas,Elise,46,22
