,TAG1,TAG2,Total_Played,Wins
65,Marksman/,Support/Mage/,1994,981
7,Marksman/,Support/Tank/,1666,784
26,Marksman/,Mage/Support/,1632,783
0,Marksman/,Support/Fighter/,1367,712
44,Assassin/Fighter/,Mage/Support/,1237,641
15,Marksman/,Tank/Support/,1297,631
27,Fighter/Mage/,Mage/Support/,738,408
4,Fighter/Tank/,Fighter/Mage/,762,408
24,Mage/Fighter/,Mage/Support/,798,401
74,Marksman/Mage/,Support/Mage/,768,377
20,Fighter/,Mage/Support/,788,366
36,Fighter/Assassin/,Mage/Support/,776,364
101,Assassin/Fighter/,Support/Mage/,694,350
11,Fighter/,Mage/,687,337
31,Fighter/Tank/,Mage/Fighter/,681,337
18,Marksman/Mage/,Mage/Support/,691,318
23,Marksman/Mage/,Support/Tank/,634,311
67,Tank/Fighter/,Assassin/Fighter/,576,310
35,Fighter/,Support/Mage/,579,298
125,Tank/Fighter/,Mage/Support/,600,297
87,Marksman/,Mage/,627,296
50,Marksman/Assassin/,Support/Tank/,560,282
14,Fighter/Tank/,Fighter/,570,274
29,Fighter/Mage/,Support/Mage/,540,273
55,Tank/Fighter/,Marksman/,562,272
100,Fighter/Tank/,Assassin/Fighter/,508,272
71,Tank/Fighter/,Support/Mage/,501,264
102,Fighter/Tank/,Tank/Fighter/,549,264
38,Fighter/Mage/,Mage/,497,262
107,Marksman/Assassin/,Support/Mage/,517,259
28,Tank/Mage/,Assassin/Fighter/,468,255
40,Mage/Fighter/,Support/Mage/,481,252
34,Assassin/Fighter/,Support/Tank/,451,243
32,Tank/Fighter/,Mage/Fighter/,463,239
22,Marksman/Assassin/,Mage/Support/,483,238
1,Fighter/Mage/,Support/Tank/,426,232
128,Assassin/Fighter/,Mage/,482,231
45,Marksman/Assassin/,Support/Fighter/,431,224
33,Mage/Fighter/,Mage/,445,222
2,Mage/Fighter/,Support/Tank/,454,220
17,Marksman/Support/,Mage/Support/,445,218
76,Marksman/,Tank/Fighter/,436,218
105,Fighter/Mage/,Assassin/Fighter/,401,194
5,Fighter/,Support/Tank/,425,191
82,Marksman/,Fighter/Tank/,361,190
110,Assassin/Fighter/,Marksman/,358,188
66,Tank/Fighter/,Support/Fighter/,342,187
3,Fighter/,Support/Fighter/,364,183
85,Tank/Fighter/,Fighter/Mage/,337,181
61,Fighter/Assassin/,Support/Mage/,410,181
6,Fighter/Mage/,Support/Fighter/,334,181
59,Assassin/Fighter/,Mage/Assassin/,316,180
73,Tank/Mage/,Tank/Fighter/,339,177
62,Fighter/Assassin/,Mage/Fighter/,327,174
143,Tank/Fighter/,Mage/,323,171
48,Marksman/Mage/,Support/Fighter/,344,168
91,Fighter/Assassin/,Mage/,333,168
54,Fighter/Mage/,Marksman/,352,167
113,Fighter/Mage/,Tank/Fighter/,312,162
9,Tank/Mage/,Fighter/,302,158
10,Fighter/,Tank/Support/,297,158
120,Fighter/Tank/,Mage/Support/,345,156
8,Mage/Fighter/,Support/Fighter/,287,155
64,Assassin/Fighter/,Support/Fighter/,286,154
97,Marksman/,Mage/Assassin/,253,148
136,Fighter/Tank/,Fighter/Assassin/,318,148
88,Assassin/Fighter/,Mage/Fighter/,274,147
30,Marksman/Support/,Support/Tank/,297,147
141,Tank/Fighter/,Tank/Fighter/,264,146
86,Tank/Fighter/,Support/Tank/,296,145
56,Fighter/Mage/,Fighter/Assassin/,300,145
99,Marksman/Support/,Support/Mage/,292,142
25,Marksman/,Support/,282,141
60,Marksman/Assassin/,Tank/Support/,291,140
155,Assassin/Fighter/,Assassin/Fighter/,259,133
13,Fighter/Mage/,Tank/Support/,282,133
19,Fighter/Assassin/,Support/Fighter/,267,131
16,Fighter/Mage/,Fighter/,264,131
12,Mage/Fighter/,Tank/Support/,279,131
46,Tank/Mage/,Marksman/,276,130
49,Marksman/Mage/,Tank/Support/,268,129
68,Tank/,Assassin/Fighter/,261,129
77,Tank/Fighter/,Fighter/Assassin/,277,129
151,Fighter/Assassin/,Assassin/Fighter/,230,127
84,Fighter/Assassin/,Fighter/,265,127
52,Fighter/Assassin/,Support/Tank/,251,120
41,Tank/Mage/,Fighter/Assassin/,237,118
116,Tank/Fighter/,Tank/Support/,237,115
47,Assassin/Fighter/,Tank/Support/,229,113
104,Fighter/Assassin/,Mage/Assassin/,227,113
114,Fighter/Assassin/,Fighter/Mage/,218,112
51,Tank/Mage/,Fighter/Mage/,216,111
53,Fighter/,Assassin/Mage/,242,111
75,Fighter/Mage/,Assassin/Mage/,194,109
72,Mage/Fighter/,Marksman/,228,105
201,Fighter/Tank/,Support/Mage/,194,103
21,Fighter/,Mage/Marksman/,178,103
121,Mage/Fighter/,Assassin/Fighter/,195,103
93,Fighter/,Mage/Fighter/,203,101
161,Fighter/Tank/,Marksman/,238,101
