,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
0,Irelia,blue,RekSai,2015,Fighter/Tank/,Mage/Fighter/,1,1
1,Gnar,blue,Rengar,2015,Fighter/Assassin/,Tank/Fighter/,1,0
2,Renekton,blue,Rengar,2015,Tank/Fighter/,Fighter/Assassin/,1,1
3,Irelia,blue,JarvanIV,2015,Fighter/Tank/,Tank/Fighter/,1,0
4,Gnar,blue,JarvanIV,2015,Tank/Fighter/,Fighter/,1,1
5,Kassadin,blue,Rengar,2015,Fighter/Tank/,Tank/Fighter/,1,0
6,Irelia,blue,JarvanIV,2015,Fighter/Tank/,Fighter/Assassin/,2,1
7,Renekton,blue,JarvanIV,2015,Fighter/Mage/,Assassin/Fighter/,1,1
8,Sion,blue,RekSai,2015,Assassin/Mage/,Fighter/Assassin/,1,0
9,Irelia,blue,Nocturne,2015,Fighter/Tank/,Assassin/Fighter/,1,1
10,Gnar,blue,JarvanIV,2015,Support/Mage/,Fighter/Assassin/,1,1
11,Jax,blue,JarvanIV,2015,Fighter/Tank/,Fighter/,1,1
12,Irelia,blue,Vi,2015,Fighter/Tank/,Tank/Fighter/,1,1
13,Lulu,blue,LeeSin,2015,Tank/Fighter/,Tank/Fighter/,1,0
14,Maokai,blue,JarvanIV,2015,Support/Mage/,Assassin/Fighter/,1,1
15,Rumble,blue,Vi,2015,Fighter/Tank/,Fighter/,1,1
16,Gnar,blue,JarvanIV,2015,Tank/Mage/,Fighter/Assassin/,2,0
17,Lissandra,blue,JarvanIV,2015,Fighter/Tank/,Tank/Fighter/,2,2
18,Gnar,blue,LeeSin,2015,Tank/Fighter/,Tank/Fighter/,2,2
19,Sion,blue,Rengar,2015,Mage/,Tank/Fighter/,1,0
20,Lulu,blue,RekSai,2015,Fighter/Mage/,Fighter/Assassin/,1,0
21,Maokai,blue,Vi,2015,Fighter/Assassin/,Tank/Fighter/,1,1
22,RekSai,blue,Vi,2015,Tank/Mage/,Fighter/Assassin/,1,0
23,Lissandra,blue,RekSai,2015,Tank/Fighter/,Tank/Fighter/,1,1
24,Gnar,blue,JarvanIV,2015,Fighter/Assassin/,Fighter/Assassin/,2,0
25,Rumble,blue,Vi,2015,Tank/Mage/,Tank/Fighter/,1,1
