,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
0,Fighter/Assassin/,blue,Fighter/,2015,Fighter/Tank/,Mage/Fighter/,1,1
1,Fighter/Tank/,blue,Assassin/Fighter/,2015,Fighter/Assassin/,Tank/Fighter/,1,0
2,Fighter/Tank/,blue,Assassin/Fighter/,2015,Tank/Fighter/,Fighter/Assassin/,2,1
3,Fighter/Assassin/,blue,Tank/Fighter/,2015,Fighter/Tank/,Tank/Fighter/,2,0
4,Fighter/Tank/,blue,Tank/Fighter/,2015,Tank/Fighter/,Fighter/,3,2
5,Assassin/Mage/,blue,Assassin/Fighter/,2015,Fighter/Tank/,Tank/Fighter/,1,0
6,Fighter/Assassin/,blue,Tank/Fighter/,2015,Fighter/Tank/,Fighter/Assassin/,4,1
7,Fighter/Tank/,blue,Tank/Fighter/,2015,Fighter/Mage/,Assassin/Fighter/,1,1
8,Tank/Fighter/,blue,Fighter/,2015,Assassin/Mage/,Fighter/Assassin/,1,0
9,Fighter/Assassin/,blue,Assassin/Fighter/,2015,Fighter/Tank/,Assassin/Fighter/,1,1
10,Fighter/Tank/,blue,Tank/Fighter/,2015,Support/Mage/,Fighter/Assassin/,1,1
11,Fighter/Assassin/,blue,Tank/Fighter/,2015,Fighter/Tank/,Fighter/,4,2
12,Fighter/Assassin/,blue,Fighter/Assassin/,2015,Fighter/Tank/,Tank/Fighter/,2,1
13,Support/Mage/,blue,Fighter/Assassin/,2015,Tank/Fighter/,Tank/Fighter/,1,0
14,Tank/Mage/,blue,Tank/Fighter/,2015,Support/Mage/,Assassin/Fighter/,1,1
15,Fighter/Mage/,blue,Fighter/Assassin/,2015,Fighter/Tank/,Fighter/,2,1
16,Fighter/Tank/,blue,Tank/Fighter/,2015,Tank/Mage/,Fighter/Assassin/,8,5
17,Mage/,blue,Tank/Fighter/,2015,Fighter/Tank/,Tank/Fighter/,2,2
18,Fighter/Tank/,blue,Fighter/Assassin/,2015,Tank/Fighter/,Tank/Fighter/,3,2
