,CHAMP1_x,Team_x,Partidas_x,CHAMP2_POS_x,CHAMP1_POS_x,CHAMP2_x,Year_x,Season_x,bResult,CHAMP1_y,Team_y,Partidas_y,CHAMP2_POS_y,CHAMP1_POS_y,CHAMP2_y,Year_y,Season_y,rResult
0,Irelia,blue,1,Jungle,Top,RekSai,2015,Spring,1,Gnar,red,1,Jungle,Top,Elise,2015,Spring,0
1,Gnar,blue,1,Jungle,Top,Rengar,2015,Spring,0,Irelia,red,1,Jungle,Top,JarvanIV,2015,Spring,1
2,Renekton,blue,1,Jungle,Top,Rengar,2015,Spring,1,Sion,red,1,Jungle,Top,LeeSin,2015,Spring,0
3,Irelia,blue,1,Jungle,Top,JarvanIV,2015,Spring,0,Gnar,red,1,Jungle,Top,Nunu,2015,Spring,1
4,Gnar,blue,1,Jungle,Top,JarvanIV,2015,Spring,1,Sion,red,1,Jungle,Top,RekSai,2015,Spring,0
5,Kassadin,blue,1,Jungle,Top,Rengar,2015,Spring,0,Gnar,red,1,Jungle,Top,JarvanIV,2015,Spring,1
6,Irelia,blue,1,Jungle,Top,JarvanIV,2015,Spring,1,Renekton,red,1,Jungle,Top,LeeSin,2015,Spring,0
7,Renekton,blue,1,Jungle,Top,JarvanIV,2015,Spring,1,Rumble,red,1,Jungle,Top,Rengar,2015,Spring,0
8,Sion,blue,1,Jungle,Top,RekSai,2015,Spring,0,Kassadin,red,1,Jungle,Top,Vi,2015,Spring,1
9,Irelia,blue,1,Jungle,Top,Nocturne,2015,Spring,1,Gnar,red,1,Jungle,Top,Rengar,2015,Spring,0
10,Gnar,blue,1,Jungle,Top,JarvanIV,2015,Spring,1,Lulu,red,1,Jungle,Top,LeeSin,2015,Spring,0
11,Jax,blue,1,Jungle,Top,JarvanIV,2015,Spring,1,Gnar,red,1,Jungle,Top,RekSai,2015,Spring,0
12,Irelia,blue,1,Jungle,Top,Vi,2015,Spring,1,Gnar,red,1,Jungle,Top,JarvanIV,2015,Spring,0
13,Lulu,blue,1,Jungle,Top,LeeSin,2015,Spring,0,Sion,red,1,Jungle,Top,JarvanIV,2015,Spring,1
14,Maokai,blue,1,Jungle,Top,JarvanIV,2015,Spring,1,Lulu,red,1,Jungle,Top,Rengar,2015,Spring,0
15,Rumble,blue,1,Jungle,Top,Vi,2015,Spring,1,Gnar,red,1,Jungle,Top,RekSai,2015,Spring,0
16,Gnar,blue,1,Jungle,Top,JarvanIV,2015,Spring,0,Maokai,red,1,Jungle,Top,LeeSin,2015,Spring,1
17,Lissandra,blue,1,Jungle,Top,JarvanIV,2015,Spring,1,Gnar,red,1,Jungle,Top,Nunu,2015,Spring,0
18,Gnar,blue,1,Jungle,Top,LeeSin,2015,Spring,1,Malphite,red,1,Jungle,Top,JarvanIV,2015,Spring,0
19,Sion,blue,1,Jungle,Top,Rengar,2015,Spring,0,Lissandra,red,1,Jungle,Top,JarvanIV,2015,Spring,1
20,Lulu,blue,1,Jungle,Top,RekSai,2015,Spring,0,Rumble,red,1,Jungle,Top,LeeSin,2015,Spring,1
21,Maokai,blue,1,Jungle,Top,Vi,2015,Spring,1,Irelia,red,1,Jungle,Top,JarvanIV,2015,Spring,0
22,RekSai,blue,1,Jungle,Top,Vi,2015,Spring,0,Maokai,red,1,Jungle,Top,LeeSin,2015,Spring,1
23,Lissandra,blue,1,Jungle,Top,RekSai,2015,Spring,1,Sion,red,1,Jungle,Top,JarvanIV,2015,Spring,0
24,Gnar,blue,1,Jungle,Top,JarvanIV,2015,Spring,0,Irelia,red,1,Jungle,Top,Vi,2015,Spring,1
25,Rumble,blue,1,Jungle,Top,Vi,2015,Spring,1,Maokai,red,1,Jungle,Top,JarvanIV,2015,Spring,0
26,Lissandra,blue,1,Jungle,Top,LeeSin,2015,Spring,1,Irelia,red,1,Jungle,Top,Vi,2015,Spring,0
27,Maokai,blue,1,Jungle,Top,Vi,2015,Spring,0,Rumble,red,1,Jungle,Top,JarvanIV,2015,Spring,1
28,Jax,blue,1,Jungle,Top,RekSai,2015,Spring,1,Gnar,red,1,Jungle,Top,LeeSin,2015,Spring,0
29,Sion,blue,1,Jungle,Top,Vi,2015,Spring,1,Maokai,red,1,Jungle,Top,LeeSin,2015,Spring,0
30,Irelia,blue,1,Jungle,Top,RekSai,2015,Spring,0,Sion,red,1,Jungle,Top,JarvanIV,2015,Spring,1
31,Lissandra,blue,1,Jungle,Top,Vi,2015,Spring,1,Maokai,red,1,Jungle,Top,RekSai,2015,Spring,0
32,Gnar,blue,1,Jungle,Top,JarvanIV,2015,Spring,0,Maokai,red,1,Jungle,Top,Nidalee,2015,Spring,1
33,Maokai,blue,1,Jungle,Top,RekSai,2015,Spring,0,Rumble,red,1,Jungle,Top,JarvanIV,2015,Spring,1
34,Maokai,blue,1,Jungle,Top,JarvanIV,2015,Spring,0,Lissandra,red,1,Jungle,Top,Vi,2015,Spring,1
35,Lissandra,blue,1,Jungle,Top,RekSai,2015,Spring,1,Maokai,red,1,Jungle,Top,Vi,2015,Spring,0
36,Rumble,blue,1,Jungle,Top,Vi,2015,Spring,1,Gnar,red,1,Jungle,Top,JarvanIV,2015,Spring,0
37,Gnar,blue,1,Jungle,Top,Vi,2015,Spring,0,Sion,red,1,Jungle,Top,JarvanIV,2015,Spring,1
38,Maokai,blue,1,Jungle,Top,Vi,2015,Spring,1,Swain,red,1,Jungle,Top,JarvanIV,2015,Spring,0
39,Renekton,blue,1,Jungle,Top,LeeSin,2015,Spring,1,Maokai,red,1,Jungle,Top,Vi,2015,Spring,0
40,Fizz,blue,1,Jungle,Top,RekSai,2015,Spring,0,Maokai,red,1,Jungle,Top,Vi,2015,Spring,1
41,Gnar,blue,1,Jungle,Top,RekSai,2015,Spring,0,Maokai,red,1,Jungle,Top,Nunu,2015,Spring,1
42,Maokai,blue,1,Jungle,Top,Nidalee,2015,Spring,1,DrMundo,red,1,Jungle,Top,LeeSin,2015,Spring,0
43,Rumble,blue,1,Jungle,Top,RekSai,2015,Spring,0,Maokai,red,1,Jungle,Top,Vi,2015,Spring,1
44,Maokai,blue,1,Jungle,Top,Vi,2015,Spring,1,Kassadin,red,1,Jungle,Top,RekSai,2015,Spring,0
45,Rumble,blue,1,Jungle,Top,RekSai,2015,Spring,1,Maokai,red,1,Jungle,Top,JarvanIV,2015,Spring,0
46,Irelia,blue,1,Jungle,Top,RekSai,2015,Spring,1,Rumble,red,1,Jungle,Top,JarvanIV,2015,Spring,0
