,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
0,Rumble,Gragas,2015,Summer,blue,Top,Jungle,35,17
1,Rumble,RekSai,2015,Summer,blue,Top,Jungle,40,21
2,Maokai,LeeSin,2015,Summer,blue,Top,Jungle,17,12
3,Gnar,RekSai,2015,Summer,blue,Top,Jungle,25,17
4,Hecarim,Nunu,2015,Summer,blue,Top,Jungle,3,2
5,Rumble,Nunu,2015,Summer,blue,Top,Jungle,5,5
6,Gnar,Zac,2015,Summer,blue,Top,Jungle,1,1
7,Hecarim,Evelynn,2015,Summer,blue,Top,Jungle,9,3
8,Rumble,Sejuani,2015,Summer,blue,Top,Jungle,9,3
9,Vladimir,Gragas,2015,Summer,blue,Top,Jungle,4,3
10,Irelia,Gragas,2015,Summer,blue,Top,Jungle,3,1
11,Ryze,Sejuani,2015,Summer,blue,Top,Jungle,1,0
12,Maokai,Sejuani,2015,Summer,blue,Top,Jungle,10,4
13,Ryze,Zac,2015,Summer,blue,Top,Jungle,1,1
14,Maokai,Gragas,2015,Summer,blue,Top,Jungle,31,21
15,Maokai,RekSai,2015,Summer,blue,Top,Jungle,40,24
16,Hecarim,Gragas,2015,Summer,blue,Top,Jungle,24,15
17,Hecarim,Ekko,2015,Summer,blue,Top,Jungle,2,1
18,Hecarim,JarvanIV,2015,Summer,blue,Top,Jungle,1,0
19,Rumble,LeeSin,2015,Summer,blue,Top,Jungle,6,3
20,Gnar,Nunu,2015,Summer,blue,Top,Jungle,3,2
21,Hecarim,XinZhao,2015,Summer,blue,Top,Jungle,1,1
22,Ekko,RekSai,2015,Summer,blue,Top,Jungle,3,3
23,Rumble,XinZhao,2015,Summer,blue,Top,Jungle,1,0
24,Hecarim,RekSai,2015,Summer,blue,Top,Jungle,22,10
25,Maokai,Nocturne,2015,Summer,blue,Top,Jungle,1,0
26,Sion,Ekko,2015,Summer,blue,Top,Jungle,1,1
27,Gnar,JarvanIV,2015,Summer,blue,Top,Jungle,2,2
28,Fizz,RekSai,2015,Summer,blue,Top,Jungle,19,10
29,Rumble,JarvanIV,2015,Summer,blue,Top,Jungle,1,1
30,Shen,RekSai,2015,Summer,blue,Top,Jungle,15,6
31,Nautilus,Nidalee,2015,Summer,blue,Top,Jungle,4,1
32,Lulu,Evelynn,2015,Summer,blue,Top,Jungle,1,0
33,Shen,Evelynn,2015,Summer,blue,Top,Jungle,9,3
34,Gnar,Gragas,2015,Summer,blue,Top,Jungle,27,10
35,Shen,JarvanIV,2015,Summer,blue,Top,Jungle,4,4
36,Nautilus,RekSai,2015,Summer,blue,Top,Jungle,5,3
37,Maokai,Nidalee,2015,Summer,blue,Top,Jungle,17,12
38,Gnar,LeeSin,2015,Summer,blue,Top,Jungle,4,2
39,Maokai,Rengar,2015,Summer,blue,Top,Jungle,1,1
40,Ryze,LeeSin,2015,Summer,blue,Top,Jungle,3,3
41,Fizz,Nautilus,2015,Summer,blue,Top,Jungle,1,1
42,Rumble,Shyvana,2015,Summer,blue,Top,Jungle,1,1
43,Fizz,Gragas,2015,Summer,blue,Top,Jungle,13,9
44,Shen,Vi,2015,Summer,blue,Top,Jungle,1,0
45,Rumble,Evelynn,2015,Summer,blue,Top,Jungle,10,6
46,Vladimir,Elise,2015,Summer,blue,Top,Jungle,1,0
47,Khazix,Zac,2015,Summer,blue,Top,Jungle,1,1
48,Riven,Ekko,2015,Summer,blue,Top,Jungle,1,0
49,Olaf,Gragas,2015,Summer,blue,Top,Jungle,2,1
50,Shen,Gragas,2015,Summer,blue,Top,Jungle,17,6
51,Gnar,Nidalee,2015,Summer,blue,Top,Jungle,6,2
52,Shen,Elise,2015,Summer,blue,Top,Jungle,15,8
53,Olaf,Nidalee,2015,Summer,blue,Top,Jungle,1,1
54,Olaf,Ekko,2015,Summer,blue,Top,Jungle,1,1
55,Gnar,Ekko,2015,Summer,blue,Top,Jungle,6,5
56,Gnar,Elise,2015,Summer,blue,Top,Jungle,9,4
57,Nautilus,Gragas,2015,Summer,blue,Top,Jungle,4,3
58,Sion,Gragas,2015,Summer,blue,Top,Jungle,2,1
59,Maokai,Evelynn,2015,Summer,blue,Top,Jungle,19,8
60,Yasuo,Gragas,2015,Summer,blue,Top,Jungle,2,2
61,Nautilus,Ekko,2015,Summer,blue,Top,Jungle,3,0
62,Rumble,Amumu,2015,Summer,blue,Top,Jungle,1,0
63,Lulu,Amumu,2015,Summer,blue,Top,Jungle,1,0
64,Maokai,Shyvana,2015,Summer,blue,Top,Jungle,1,1
65,Maokai,Khazix,2015,Summer,blue,Top,Jungle,1,1
66,Gnar,Shyvana,2015,Summer,blue,Top,Jungle,1,0
67,Lulu,Ekko,2015,Summer,blue,Top,Jungle,1,0
68,Sion,Nidalee,2015,Summer,blue,Top,Jungle,2,2
69,Maokai,Nunu,2015,Summer,blue,Top,Jungle,8,3
70,Gnar,Sejuani,2015,Summer,blue,Top,Jungle,6,1
71,Gnar,Evelynn,2015,Summer,blue,Top,Jungle,4,1
72,Hecarim,Sejuani,2015,Summer,blue,Top,Jungle,6,4
73,Ryze,Evelynn,2015,Summer,blue,Top,Jungle,5,3
74,Ryze,Gragas,2015,Summer,blue,Top,Jungle,10,6
75,Jax,Evelynn,2015,Summer,blue,Top,Jungle,1,1
76,Nocturne,Gragas,2015,Summer,blue,Top,Jungle,1,1
77,DrMundo,RekSai,2015,Summer,blue,Top,Jungle,1,0
78,Rumble,Ekko,2015,Summer,blue,Top,Jungle,4,1
79,Maokai,Ekko,2015,Summer,blue,Top,Jungle,9,4
80,Ryze,Ekko,2015,Summer,blue,Top,Jungle,6,3
81,Shen,LeeSin,2015,Summer,blue,Top,Jungle,7,5
82,Vladimir,Ekko,2015,Summer,blue,Top,Jungle,1,0
83,Fizz,Nunu,2015,Summer,blue,Top,Jungle,1,1
84,Ekko,Gragas,2015,Summer,blue,Top,Jungle,2,2
85,Lulu,RekSai,2015,Summer,blue,Top,Jungle,8,6
86,Ryze,Olaf,2015,Summer,blue,Top,Jungle,1,1
87,Lulu,Rengar,2015,Summer,blue,Top,Jungle,1,0
88,Shyvana,RekSai,2015,Summer,blue,Top,Jungle,4,3
89,Ryze,RekSai,2015,Summer,blue,Top,Jungle,10,6
90,Lulu,Gragas,2015,Summer,blue,Top,Jungle,4,1
91,Lulu,Nunu,2015,Summer,blue,Top,Jungle,1,1
92,Shen,Nidalee,2015,Summer,blue,Top,Jungle,5,2
93,Shyvana,Gragas,2015,Summer,blue,Top,Jungle,4,3
94,Maokai,JarvanIV,2015,Summer,blue,Top,Jungle,3,3
95,Jax,RekSai,2015,Summer,blue,Top,Jungle,3,1
96,TahmKench,Gragas,2015,Summer,blue,Top,Jungle,1,1
97,Galio,RekSai,2015,Summer,blue,Top,Jungle,1,0
98,Fizz,LeeSin,2015,Summer,blue,Top,Jungle,1,1
99,Trundle,Evelynn,2015,Summer,blue,Top,Jungle,1,0
