BLUECHAMP,REDCHAMP,TAG_TO_COMPARE,pvalue,statistic
blueMiddleChamp,redADCChamp,Mage/Marksman,0.6775689150135427,-0.4222685642509231
blueMiddleChamp,redADCChamp,Mage,0.8359160197857061,0.20749817680562005
blueMiddleChamp,redADCChamp,Tank/Mage,0.3699810788522613,0.9078765505148251
blueMiddleChamp,redADCChamp,Mage/Assassin,0.6863647493383278,0.405362967206195
blueMiddleChamp,redADCChamp,Marksman/Assassin,,
blueMiddleChamp,redADCChamp,Fighter,,
blueMiddleChamp,redADCChamp,Marksman,0.7958707431676616,0.25954832391130306
blueMiddleChamp,redADCChamp,Tank/Fighter,,
blueMiddleChamp,redADCChamp,Fighter/Tank,,
blueMiddleChamp,redADCChamp,Assassin/Fighter,0.6296017970979589,0.48367940138968446
blueMiddleChamp,redADCChamp,Fighter/Marksman,0.1165459148851801,1.6130853263085434
blueMiddleChamp,redADCChamp,Fighter/Assassin,0.2280846933377947,1.2702146976599118
blueMiddleChamp,redADCChamp,Mage/Support,0.23999295274560897,1.1780006806864496
blueMiddleChamp,redADCChamp,Fighter/Support,,
blueMiddleChamp,redADCChamp,Support/Mage,0.38656454838842147,0.878668779193509
blueMiddleChamp,redADCChamp,Assassin/Mage,0.2584315087052133,1.1366427110457664
blueMiddleChamp,redADCChamp,Mage/Fighter,0.405264496025732,0.8373900436690884
blueMiddleChamp,redADCChamp,Mage/Tank,0.6729352820339072,-0.4258023942082291
blueMiddleChamp,redADCChamp,Marksman/Mage,0.8066613107249159,0.25298221281347044
